Method,Experiment,Scenario - Train,Scenario - Test,Region,RMSE,MAE,Bias,MRE
DMD,3box_uncoup,2xCO2,2xCO2,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,2xCO2,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,2xCO2,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,2xCO2,High Emissions,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,High Emissions,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,High Emissions,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,2xCO2,Overshoot,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,Overshoot,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,Overshoot,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,2xCO2,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,2xCO2,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,2xCO2,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,High Emissions,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,High Emissions,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,High Emissions,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,Overshoot,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,Overshoot,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,Overshoot,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
